"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Canyons District","42","Park Lane School","155","Public","","","","K - 5","9955 S 2300 E","SANDY","84092","geo:40.570262,-111.823506","http://parklane.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42155","801-826-9025","801-826-9026","","2009","","Principal","Justin Jeffery","justin.jeffery@canyonsdistrict.org"
"Canyons District","42","Peruvian Park School","150","Public","","","","K - 5","1545 E 8425 S","SANDY","84093","geo:40.599093,-111.847561","http://peruvianpark.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42150","801-826-9100","801-826-9101","","2009","","Principal","Leslie Jewkes","leslie.jewkes@canyonsdistrict.org"
"Canyons District","42","Quail Hollow School","154","Public","","","","K - 5","2625 E NEWCASTLE DR","SANDY","84093","geo:40.587126,-111.816478","http://quailhollow.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42154","801-826-9175","801-826-9176","","2009","","Principal","Shad Demill","shad.demill@canyonsdistrict.org"
"Canyons District","42","Ridgecrest School","151","Public","","","","K - 5","1800 E 7200 S","COTTONWOOD HEIGHTS","84121","geo:40.619238,-111.840618","http://ridgecrest.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42151","801-826-9250","801-826-9251","","2009","","Principal","Julia Winfree","julia.winfree@canyonsdistrict.org"
"Canyons District","42","Sandy School","156","Public","","Title I","Title I","Pre - 5","8725 S 280 E","SANDY","84070","geo:40.593027,-111.880506","http://sandy.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42156","801-826-9325","801-826-9326","","2009","","Principal","D Robinson","mckay.robinson@canyonsdistrict.org"
"Canyons District","42","Silver Mesa School","158","Public","","","","K - 5","8920 S 1700 E","SANDY","84093","geo:40.589341,-111.844689","http://silvermesa.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42158","801-826-9400","801-826-9401","","2009","","Principal","Julie Fielding","julie.fielding@canyonsdistrict.org"
"Canyons District","42","South Park Academy","712","Public","","","","9 - 12","14425 S PONY EXPRESS RD PO BOX 250","DRAPER","84020","geo:40.499158,-111.899075","","https://datagateway.schools.utah.gov/Schools/42712","801-576-8235","801-576-8213","","2009","","Coordinator","Todd Bird","todd.bird@canyonsdistrict.org"
"Canyons District","42","Special Ed Preschool","800","Public","","","","Pre","9361 S 300 E","SANDY","84070","geo:40.581451,-111.880781","","https://datagateway.schools.utah.gov/Schools/42800","801-501-1067","801-501-1043","","2009","","Principal","","terri.mitchell@canyonsdistrict.org"
"Canyons District","42","Sprucewood School","164","Public","","","","K - 5","12025 S 1000 E","SANDY","84094","geo:40.532675,-111.861789","http://sprucewood.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42164","801-826-9475","801-826-9416","","2009","","Principal","Lori Reynolds","lori.reynolds@canyonsdistrict.org"
"Canyons District","42","Sunrise School","159","Public","","","","K - 5","1520 E 11265 S","SANDY","84092","geo:40.546359,-111.847691","http://sunrise.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42159","801-826-9550","801-826-9551","","2009","","Principal","Margaret Swanicke","margaret.swanicke@canyonsdistrict.org"
"Canyons District","42","Union Middle","410","Public","","","","6 - 8","615 E 8000 S","SANDY","84070","geo:40.60692,-111.874633","http://unionmiddle.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42410","801-826-1500","801-826-1509","","2009","","Principal","Kelly Tauteoli","kelly.tauteoli@canyonsdistrict.org"
"Canyons District","42","Willow Canyon School","174","Public","","","","K - 5","9650 S 1700 E","SANDY","84092","geo:40.575983,-111.846688","http://willowcanyon.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42174","801-826-9625","801-826-9626","","2009","","Principal","Marilyn Williams","marilyn.williams@canyonsdistrict.org"
"Canyons District","42","Willow Springs School","178","Public","","","","K - 5","13288 S LONE PEAK DRIVE","DRAPER","84020","geo:40.509768,-111.876585","http://willowsprings.canyonsdistrict.org/","https://datagateway.schools.utah.gov/Schools/42178","801-826-9700","801-826-9701","","2009","","Principal","Marianney Yule","marianey.yule@canyonsdistrict.org"
"Capstone Classical Academy","9L","Capstone Classical Academy","300","Public","Charter","Title I","","6 - 12","3885 North Rt 89","Pleasant View","84414","geo:41.3274067,-112.0214057","","https://datagateway.schools.utah.gov/Schools/9L300","801-896-4562","","State Charter School Board (SCSB)","2018","","Principal","",""
"Carbon District","05","Bruin Point School","110","Public","","Title I","Title I","Pre - 5","PO BOX 399","SUNNYSIDE","84539","geo:39.549538,-110.403627","http://www.carbonschools.org/BruinPoint.cfm","https://datagateway.schools.utah.gov/Schools/05110","435-888-4474","435-888-9938","","2007","","Principal","Dina Wise","wised@carbonschools.org"
"Carbon District","05","Carbon High","704","Public","","","","9 - 12","750 E 400 N","PRICE","84501","geo:39.607956,-110.797358","http://www.carbonschools.org/CarbonHigh.cfm","https://datagateway.schools.utah.gov/Schools/05704","435-637-2463","435-637-4127","","1959","","Principal","Bruce Bean","beanb@carbonschools.org"
"Carbon District","05","Castle Heights School","112","Public","","Title I","Title I","K - 5","750 N HOMESTEAD BLVD","PRICE","84501","geo:39.612555,-110.784446","http://www.carbonschools.org/CastleHeights.cfm","https://datagateway.schools.utah.gov/Schools/05112","435-637-7177","435-637-4645","","1980","","Principal","Christopher Winfree","winfreec@carbonschools.org"
"Carbon District","05","Castle Valley Center","801","Public","","","","Pre - 12","755 N CEDAR HILLS DR.","PRICE","84501","geo:39.612386,-110.793268","http://www.carbonschools.org/CastleValley.cfm","https://datagateway.schools.utah.gov/Schools/05801","435-637-9150","435-637-0714","","1983","","Principal","Michael Keller","kellerm@carbonschools.org"
"Carbon District","05","Creekview School","114","Public","","Title I","Title I","Pre - 5","590 W 500 S","PRICE","84501","geo:39.592956,-110.819499","http://www.carbonschools.org/Creekview.cfm","https://datagateway.schools.utah.gov/Schools/05114","435-637-0828","435-637-4902","","1985","","Principal","Barry Thomas","
thomasbj@carbonschools.org"
"Carbon District","05","Helper Middle","408","Public","","","","6 - 8","151 UINTAH ST","HELPER","84526","geo:39.690332,-110.85901","http://www.carbonschools.org/HelperJr.cfm","https://datagateway.schools.utah.gov/Schools/05408","435-472-5441","435-472-3502","","1937","","Principal","Robert Bradley",""
"Carbon District","05","Lighthouse High","760","Public","","Title I","","10 - 12","251 W 400 N","PRICE","84501","geo:39.604769,-110.816845","http://www.carbonschools.org/LighthouseAlternative.cfm?master=646842&cfm=end","https://datagateway.schools.utah.gov/Schools/05760","435-637-7540","435-637-4019","","1996","2019","Director","Karen Bedont",""
"Carbon District","05","Mont Harmon Middle","412","Public","","","","6 - 8","60 W 400 N","PRICE","84501","geo:39.605851,-110.812616","http://www.carbonschools.org/MontHarmon.cfm","https://datagateway.schools.utah.gov/Schools/05412","435-637-0510","435-637-6074","","1967","","Principal","Seth Allred","allreds@carbonschools.org"
"Carbon District","05","Sally Mauro School","120","Public","","Title I","Title I","Pre - 5","20 - 2ND AVE","HELPER","84526","geo:39.689714,-110.864696","http://www.carbonschools.org/SallyMauro.cfm","https://datagateway.schools.utah.gov/Schools/05120","435-472-5311","435-472-3687","","1966","","Principal","","hardyja@carbonschools.org"
"Carbon District","05","Wellington School","154","Public","","Title I","Title I","Pre - 5","250 W 200 N P O BOX 407","WELLINGTON","84542","geo:39.544672,-110.731907","http://www.carbonschools.org/Wellington.cfm","https://datagateway.schools.utah.gov/Schools/05154","435-637-2570","435-637-5043","","1982","","Principal","Stacy Basinger","basingers@carbonschools.org"
"Caritas Academy of Classical Christian Education","NE","Caritas Academy of Classical Christian Education","950","Private","","","","K - 12","115 NORTH 300 WEST","WASHINGTON","84780","geo:37.131924,-113.514976","","","435-986-1440","","","2008","","Principal","",""
"Carmen Pingree School","MS","Carmen Pingree School","901","Private","","","","Pre - 12","780 S GURADSMAN WAY","SALT LAKE CITY","84109","geo:40.752365,-111.845507","www.carmenpingree.com","","801-581-0194","801-581-0193","","2007","","Principal","","heatherd@valleycares.com"
"Cascade Mountain High","LY","Cascade Mountain High","951","Private","","","","7 - 12","1790 N STATE ST","OREM","84057","geo:40.329983,-111.710207","www.centerforchange.com","","801-224-8255","801-224-8301","","2004","","Principal","","stan.harward@gmail.com"
"Catalyst Preparatory Academy","NU","Catalyst Preparatory Academy","950","Private","","","","9 - 12","970 SOUTH 1025 WEST","BRIGHAM CITY","84302","geo:41.490764,-112.036473","catalystrtc.com","","435-723-4600","435-723-4700","","2009","","Principal","Nicole Butler","Nicole@catalystrtc.com"
"Cedar Ridge Academy","LF","Cedar Ridge Academy","700","Private","","","","7 - 12","Route 1, Box 1477","Roosevelt","84066","geo:40.384259,-110.073193","","","435-353-4498","","","2003","","Administrator","",""
"Centro de la Familia de Utah","CM","Centro de la Familia de Utah Box Elder","903","Private","","","","Pre","6980 N 2550 W","HONEYVILLE","84314","geo:41.6353981,-112.0802758","","","435-239-7700","801-521-6242","","2016","","Director","",""
"Centro de la Familia de Utah","CM","Centro de la Familia de Utah Genola","902","Private","","","","Pre","340 E 800 S","GENOLA","84655","geo:39.9837967,-111.8369216","","","385-404-3010","801-521-6242","","2016","","Coordinator","",""
"Centro de la Familia de Utah","CM","Centro de la Familia de Utah Providence","901","Private","","","","Pre","316 Gateway Drive","PROVIDENCE","84332","geo:41.7148778,-112.1087424","","","435-754-3730","801-521-6242","","2016","","Coordinator","",""
"CERTS (Certified Educational, Recreational and Therapeutic Schools)","LQ","Kolob Canyon School","900","Private","","","","8 - 12","1338 E. 600 South","NEW HARMONY","84757","geo:37.505173,-113.316502","","","435-865-1437","435-865-1439","","2007","","Principal","","susan@kolobcanyonrtc.com"
"CERTS (Certified Educational, Recreational and Therapeutic Schools)","LQ","La Europa Academy","901","Private","","","","9 - 12","1121 E Vine Strret","SALT LAKE CITY","84121","geo:40.640508,-111.856058","","","801-268-9300","801-268-8554","","2007","","Principal","Kori Mayeski","lterziser@laeuropa.com"
"CERTS (Certified Educational, Recreational and Therapeutic Schools)","LQ","Moonridge Academy","902","Private","","","","6 - 10","9450 W 2400 S","CEDAR CITY","84720","geo:37.632901,-113.25612","","","435-586-9585","435-586-4489","","2007","","Director","","susan@moonridgeacademy.com"
"CERTS (Certified Educational, Recreational and Therapeutic Schools)","LQ","Mountain Springs Preparatory Academy","903","Private","","","","9 - 12","1454 South Campus Drive","CEDAR CITY","84720","geo:37.651963,-113.074477","www.mountainspringsprep.com","","435-867-5555","435-867-0005","","2007","","Principal","","dgardner@mountainspringsprep.com"
"Channing Hall","2D","Channing Hall","100","Public","Charter","Title I","Title I","K - 8","13515 S 150 E","DRAPER","84020","geo:40.505924,-111.885119","http://www.channinghall.org","https://datagateway.schools.utah.gov/Schools/2D100","801-572-2709","801-571-8786","State Charter School Board (SCSB)","2006","","Principal","Heather Sheperd","dwirth@channinghall.org"
"Chapman Music Institute","EB","Chapman Music Institute","100","Private","","","","7 - 12","43 N 1330 W","OREM","84057","geo:40.298045,-111.727486","","","801-860-0840","","","2010","","Director","",""
"Children's Christian School","MT","Children's Christian School","901","Private","","","","K - 8","3138 WEST 7000 SOUTH","WEST JORDAN","84084","geo:40.624167,-111.966096","","","801-971-5085","801-226-3913","","2007","","Principal","",""
"Chiron Academy","CA","Chiron Academy","950","Private","","","","K - 12","2020 E. 3300 South St 2","SALT LAKE CITY","84109","geo:40.699789,-111.833395","https://chironacademy.org/","","801-557-1579","","","2019","","Director","","thechironacademy@gmail.com"
"Cinnamon Hills School","KD","Cinnamon Hills School","650","Private","","","","7 - 12","770 E ST GEORGE BLVD","ST GEORGE","84770","geo:37.109627,-113.566964","www.cinnamonhills.org","","435-674-0984","","","2000","","Principal","Myron Cottam","l.lawson@cinnamonhills.org"
"City Academy","87","City Academy","700","Public","Charter","Title I","Title I","7 - 12","555 E 200 S","SALT LAKE CITY","84102","geo:40.765139,-111.874904","http://www.cityacademyslc.org","https://datagateway.schools.utah.gov/Schools/87700","801-596-8489","801-521-4181","State Charter School Board (SCSB)","2000","","Director","Sonia S. Woodbury","sonia.woodbury@cityacademyslc.org"
"Clear Horizons","MU","Clear Horizons","901","Private","","","","K - 5","1875 S. Geneva Road","OREM","84058","geo:40.304788,-111.66057","","","801-437-0490","801-437-0489","","2007","","Principal","",""
"Copper Hills Youth Center","KE","Copper Hills Youth Center","672","Private","","","","7 - 12","5899 W RIVENDELL DR","WEST JORDAN","84088","geo:40.588602,-112.031325","copperhillsyouthcenter.com","","801-304-7171","801-561-3393","","2005","","Principal","Elizabeth Loy","elizabeth.loy@uhsinc.com"
"Cottonwood Youth Academy","KH","Cottonwood Youth Academy","955","Private","","","","7 - 12","1110 West 3300 South","Salt Lake City","84119","geo:40.69978,-111.922948","","","801-433-2900","801-433-2999","","2004","","Director","Ross Poore","ross.poore@uhsinc.com"
"Daggett District","06","Flaming Gorge School","104","Public","","","","K - 5","P O BOX 289","DUTCH JOHN","84023","geo:40.930469,-109.394238","http://www.dsdf.org/fge.htm","https://datagateway.schools.utah.gov/Schools/06104","435-885-3112","435-885-3218","","1958","","Principal","","astaggs@dsdf.org"
"Daggett District","06","Manila High","704","Public","","","","7 - 12","160 W 200 N P O BOX 249","MANILA","84046","geo:40.992343,-109.725684","http://www.dsdf.org/mhs.htm","https://datagateway.schools.utah.gov/Schools/06704","435-784-3174","435-784-3271","","1919","","Principal","Camille Clegg","cclegg@dsdf.org"
"Daggett District","06","Manila School","112","Public","","","","K - 6","125 W 200 N P O BOX 249","MANILA","84046","geo:40.992237,-109.726776","http://www.dsdf.org/mes.htm","https://datagateway.schools.utah.gov/Schools/06112","435-784-3174","435-784-3209","","1959","","Principal","Robert Staggs","astaggs@dsdf.org"
"Dancing Moose Montessori","NM","Dancing Moose Montessori","901","Private","","","","Pre - 2","4428 LINKS DRIVE","WEST VALLEY CITY","84120","geo:40.718465,-111.997271","www.mydancingmoose.com","","801-968-0100","","","2007","","Administrator","",""
"Dancing Moose Montessori","NM","Dancing Moose Montessori River Park","910","Private","","","","Pre - 3","10995 South River Front Parkway","SOUTH JORDAN","84095","geo:40.551694,-111.916284","www.mydancingmoose.com","","801-968-0100","801-966-1135","","2015","","Administrator","",""
"Daniels Academy","EG","Daniels Academy","100","Private","","","","9 - 12","3725 S BIG HOLLOW ROAD","HEBER CITY","84032","geo:40.461866,-111.428671","","","435-979-6294","801-904-0077","","2010","","Director","",""
"Davinci Academy","A3","Davinci Academy","700","Public","Charter","Title I","Title I","K - 12","2033 GRANT AVE","OGDEN","84401","geo:41.23035,-111.973357","http://www.davinciacademy.org","","801-409-0700","801-866-1311","State Charter School Board (SCSB)","2004","","Director","Fred Donaldson","fred.donaldson@davinciacademy.org"
"Davis District","07","Adams School","102","Public","","","","Pre - 6","2200 E 2500 N","LAYTON","84041","geo:41.095007,-111.925467","http://www.davis.k12.ut.us/schools/adams/","https://datagateway.schools.utah.gov/Schools/07102","801-402-3100","801-402-3101","","1984","","Principal","Brooke Murdock","bmurdock@dsdmail.net"
"Davis District","07","Adelaide School","104","Public","","Title I","Title I","K - 6","731 W 3600 S","BOUNTIFUL","84010","geo:40.849951,-111.899569","http://www.davis.k12.ut.us/104/site/default.asp","https://datagateway.schools.utah.gov/Schools/07104","801-402-1250","801-402-1251","","1952","","Principal","Jeri Thomas","jhthomas@dsdmail.net"
"Davis District","07","Antelope School","106","Public","","Title I","Title I","Pre - 6","1810 S MAIN","CLEARFIELD","84015","geo:41.087234,-112.026978","http://www.davis.k12.ut.us/schools/antelope/","https://datagateway.schools.utah.gov/Schools/07106","801-402-2100","801-402-2101","","1987","","Principal","Donald Beatty","dbeatty@dsdmail.net"
"Davis District","07","Bluff Ridge School","153","Public","","","","Pre - 6","2680 S 775 W","SYRACUSE","84075","geo:41.075671,-112.040903","http://www.davis.k12.ut.us/schools/bluffridge/","https://datagateway.schools.utah.gov/Schools/07153","801-402-2850","801-402-2851","","1999","","Principal","Adrienne Kennett","akennett@dsdmail.net"
"Davis District","07","Boulton School","108","Public","","","","Pre - 6","2611 S ORCHARD DR","BOUNTIFUL","84010","geo:40.86086,-111.884733","http://www.davis.k12.ut.us/108/site/default.asp","https://datagateway.schools.utah.gov/Schools/07108","801-402-1300","801-402-1301","","1959","","Principal","Tiffany Tuck","ttuck@dsdmail.net"
"Davis District","07","Bountiful High","704","Public","","","","10 - 12","695 S ORCHARD DR","BOUNTIFUL","84010","geo:40.881665,-111.871573","http://bhs.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07704","801-402-3900","801-402-3901","","1951","","Principal","Aaron Hogge","ahogge@dsdmail.net"
"Davis District","07","Bountiful Jr High","404","Public","","","","7 - 9","30 W 400 N","BOUNTIFUL","84010","geo:40.8945,-111.88145","http://www.davis.k12.ut.us/schools/bjh/","https://datagateway.schools.utah.gov/Schools/07404","801-402-6000","801-402-6001","","1915","","Principal","Kathryn Ashton","kashton@dsdmail.net"
"Davis District","07","Bountiful School","112","Public","","","","K - 6","1620 S 50 W","BOUNTIFUL","84010","geo:40.873608,-111.882705","http://www.davis.k12.ut.us/schools/bountiful/","https://datagateway.schools.utah.gov/Schools/07112","801-402-1350","801-402-1351","","1950","","Principal","Kristen McDonough","kmcdonough@dsdmail.net"
"Davis District","07","Buffalo Point School","113","Public","","","","Pre - 6","1924 SOUTH DORAL DRIVE","SYRACUSE","84075","geo:41.086664,-112.095078","http://www.davis.k12.ut.us/113/site/default.asp","https://datagateway.schools.utah.gov/Schools/07113","801-402-8400","801-402-8401","","2008","","Principal","James Heidrich","jheidrich@dsdmail.net"
"Davis District","07","Canyon Creek School","169","Public","","","","Pre - 6","755 S. 11 W.","FARMINGTON","84025","geo:40.9684995,-111.9122963","http://www.davisk12.ut.us/169","https://datagateway.schools.utah.gov/Schools/07169","801-402-0300","801-402-0301","","2016","","Principal","Vonzaa Hewitt","vhewitt@dsdmail.net"
"Davis District","07","Centennial Jr High","426","Public","","","","7 - 9","740 S SUNSET DR","KAYSVILLE","84037","geo:41.022835,-111.954779","http://www.davis.k12.ut.us/426/site/default.asp","https://datagateway.schools.utah.gov/Schools/07426","801-402-0100","801-402-0101","","2011","","Principal","Cerissa Thompson","cethompson@dsdmail.net"
"Davis District","07","Centerville Jr High","406","Public","","","","7 - 9","625 S MAIN","CENTERVILLE","84014","geo:40.91058,-111.877978","http://www.davis.k12.ut.us/406/site/default.asp","https://datagateway.schools.utah.gov/Schools/07406","801-402-6100","801-402-6101","","1964","","Principal","Curtis Stromberg","cstromberg@dsdmail.net"
"Davis District","07","Centerville School","116","Public","","","","Pre - 6","350 N 100 E","CENTERVILLE","84014","geo:40.920867,-111.876422","http://www.davis.k12.ut.us/schools/centerville/","https://datagateway.schools.utah.gov/Schools/07116","801-402-1400","801-402-1401","","1947","","Principal","Eric Holmes","eholmes@dsdmail.net"
"Davis District","07","Central Davis Jr High","408","Public","","","","7 - 9","663 CHURCH ST","LAYTON","84041","geo:41.069613,-111.96438","http://www.davis.k12.ut.us/schools/cdjh/","https://datagateway.schools.utah.gov/Schools/07408","801-402-7100","801-402-7101","","1953","","Principal","Lori Hawthorne-Schlichting","lhawthorne@dsdmail.net"
"Davis District","07","Clearfield High","706","Public","","","","10 - 12","931 S 1000 E","CLEARFIELD","84015","geo:41.100318,-112.005488","http://chs.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07706","801-402-8200","801-402-8201","","1959","","Principal","Christopher Keime","ckeime@dsdmail.net"
"Davis District","07","Clinton School","120","Public","","","","Pre - 6","1101 W 1800 N","CLINTON","84015","geo:41.1392,-112.04745","http://www.davis.k12.ut.us/120/site/default.asp","https://datagateway.schools.utah.gov/Schools/07120","801-402-2150","801-402-2151","","1922","","Principal","Julie Lundell","jlundell@dsdmail.net"
"Davis District","07","Columbia School","131","Public","","","","K - 6","378 S 50 W","KAYSVILLE","84037","geo:41.027427,-111.93871","http://www.davis.k12.ut.us/schools/columbia/","https://datagateway.schools.utah.gov/Schools/07131","801-402-3350","801-402-3351","","1982","","Principal","","ddenhalter@dsdmail.net"
"Davis District","07","Cook School","122","Public","","","","Pre - 6","1175 W 1350 S","SYRACUSE","84075","geo:41.093628,-112.048739","http://www.davis.k12.ut.us/schools/cook/","https://datagateway.schools.utah.gov/Schools/07122","801-402-2200","801-402-2201","","1979","","Principal","","rking@dsdmail.net"
"Davis District","07","Creekside School","151","Public","","","","Pre - 6","275 W MUTTON HOLLOW RD","KAYSVILLE","84037","geo:41.050084,-111.942631","http://www.davis.k12.ut.us/schools/creekside/","https://datagateway.schools.utah.gov/Schools/07151","801-402-3650","801-402-3651","","1999","","Principal","Steve Hammer","shammer@dsdmail.net"
"Davis District","07","Crestview School","124","Public","","Title I","Title I","Pre - 6","185 W GOLDEN AVE","LAYTON","84041","geo:41.069986,-111.970163","http://www.davis.k12.ut.us/124/site/default.asp","https://datagateway.schools.utah.gov/Schools/07124","801-402-3200","801-402-3201","","1955","","Principal","Michelle Fredericks","mfredericks@dsdmail.net"
"Davis District","07","Davis Connect 7-8","236","Public","","","","7 - 8","P.O.Box 588","FARMINGTON","84025","geo:40.7548,-111.881","www.davis.k12.ut.us/academics/online-learning/7-8-davis-connect","https://datagateway.schools.utah.gov/Schools/07236","801-402-0588","","","2018","","Principal","","swinkler@dsdmail.net"
"Davis District","07","Davis High","708","Public","","","","10 - 12","325 S MAIN","KAYSVILLE","84037","geo:41.029407,-111.931007","http://www.davis.k12.ut.us/708/site/default.asp","https://datagateway.schools.utah.gov/Schools/07708","801-402-8800","801-402-8801","","1914","","Principal","Gregory Wilkey","gwilkey@dsdmail.net"
"Davis District","07","Doxey School","128","Public","","Title I","Title I","Pre - 6","944 N 250 W","SUNSET","84015","geo:41.127662,-112.029788","http://doxey.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07128","801-402-2250","801-402-2251","","1958","","Principal","Darrin Nash","dnash@dsdmail.net"
"Davis District","07","Eagle Bay School","148","Public","","","","Pre - 6","100 N 1933 W","FARMINGTON","84025","geo:40.981619,-111.92904","http://www.davis.k12.ut.us/eaglebay/","https://datagateway.schools.utah.gov/Schools/07148","801-402-3800","801-402-3801","","1990","","Principal","Taya Johnson","tajohnson@dsdmail.net"
"Davis District","07","East Layton School","129","Public","","","","Pre - 6","2470 E CHERRY LANE","EAST LAYTON","84041","geo:41.080224,-111.918747","http://www.davis.k12.ut.us/129/site/default.asp","https://datagateway.schools.utah.gov/Schools/07129","801-402-3250","801-402-3251","","1980","","Principal","","lisbrown@dsdmail.net"
"Davis District","07","Ellison Park School","136","Public","","","","Pre - 6","800 N COLDCREEK WAY","LAYTON","84041","geo:41.06708,-111.998255","http://www.davis.k12.ut.us/136/site/default.asp","https://datagateway.schools.utah.gov/Schools/07136","801-402-7300","801-402-7301","","2007","","Principal","Debra Marshall","dmarshall@dsdmail.net"
"Davis District","07","Endeavour School","161","Public","","","","K - 6","1870 S 25 W","KAYSVILLE","84037","geo:41.0032309,-111.938957","http://www.davis.k12.ut.us/161/site/default.asp","https://datagateway.schools.utah.gov/Schools/07161","801-402-0400","801-402-0401","","2010","","Principal","Vanessa Mori","vmori@dsdmail.net"
"Davis District","07","Fairfield Jr High","402","Public","","","","7 - 9","951 N FAIRFIELD RD","KAYSVILLE","84037","geo:41.049813,-111.940011","http://ffjh.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07402","801-402-7000","801-402-7001","","1994","","Principal","Tiffany Midgley","tmidgley@dsdmail.net"
"Davis District","07","Family Enrichment Center","802","Public","","","","Pre","320 S 500 E","KAYSVILLE","84037","geo:41.02928,-111.927627","http://www.davis.k12.ut.us/district/earlychildhood/","https://datagateway.schools.utah.gov/Schools/07802","801-402-0650","801-402-0651","","1990","","Director","Judy Jackson","jjackson@dsdmail.net"
"Davis District","07","Farmington High","709","Public","","","","10 - 12","548 W Glovers Lange","FARMINGTON","84025","geo:40.9659353,-111.9025386","https://www.davis.k12.ut.us/Domain/14533","https://datagateway.schools.utah.gov/Schools/07709","801-402-9050","801-402-9051","","2018","","Principal","",""
"Davis District","07","Farmington Jr High","409","Public","","","","7 - 9","150 S 200 W","FARMINGTON","84025","geo:40.978002,-111.892864","http://www.davis.k12.ut.us/409/site/default.asp","https://datagateway.schools.utah.gov/Schools/07409","801-402-6900","801-402-6901","","1983","","Principal","Benjamin Hill","behill@dsdmail.net"
"Davis District","07","Farmington School","132","Public","","","","K - 6","50 W 200 S","FARMINGTON","84025","geo:40.977522,-111.889283","http://www.davis.k12.ut.us/schools/farmington/","https://datagateway.schools.utah.gov/Schools/07132","801-402-2950","801-402-2951","","1973","","Principal","","cforbush@dsdmail.net"
"Davis District","07","Foxboro School","166","Public","","","","Pre - 6","487 N FOXBORO DRIVE","NORTH SALT LAKE","84054","geo:40.852768,-111.940166","http://www.davis.k12.ut.us/26402011892137840/site/default.asp","https://datagateway.schools.utah.gov/Schools/07166","801-402-5050","801-402-5051","","2009","","Principal","Christine Whitaker","cwhitaker@dsdmail.net"
"Davis District","07","Fremont School","133","Public","","Title I","Title I","K - 6","2525 N 160 W","SUNSET","84015","geo:41.150151,-112.028496","http://www.davis.k12.ut.us/schools/fremont/","https://datagateway.schools.utah.gov/Schools/07133","801-402-2300","801-402-2301","","1965","","Principal","Adell Arvidson","aarvidson@dsdmail.net"
"Davis District","07","H C Burton School","114","Public","","","","Pre - 6","827 E 200 S","KAYSVILLE","84037","geo:41.032473,-111.919302","http://burton.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07114","801-402-3150","801-402-3151","","1959","","Principal","Hilaree Lowry","hstephens@dsdmail.net"
"Davis District","07","Heritage School","157","Public","","","","Pre - 6","1354 W WEAVER LANE","LAYTON","84041","geo:41.045397,-111.99158","http://www.davis.k12.ut.us/schools/heritage/","https://datagateway.schools.utah.gov/Schools/07157","801-402-1200","801-402-1201","","2002","","Principal","Ruthanne Keller","rkeller@dsdmail.net"
"Davis District","07","Hill Field School","135","Public","","","","Pre - 6","389 S 1000 E","CLEARFIELD","84015","geo:41.10812,-112.005195","http://www.davis.k12.ut.us/schools/hillfield/","https://datagateway.schools.utah.gov/Schools/07135","801-402-2350","801-402-2351","","1963","","Principal","","dforsgren@dsdmail.net"
"Davis District","07","Holbrook School","134","Public","","","","Pre - 6","1018 E 250 N","BOUNTIFUL","84010","geo:40.891843,-111.860294","http://www.davis.k12.ut.us/schools/holbrook/","https://datagateway.schools.utah.gov/Schools/07134","801-402-1450","801-402-1451","","1959","","Principal","","nkillpack@dsdmail.net"
"Davis District","07","Holt School","137","Public","","Title I","Title I","Pre - 6","448 N 1000 W","CLEARFIELD","84015","geo:41.120457,-112.044156","http://www.davis.k12.ut.us/schools/holt/","https://datagateway.schools.utah.gov/Schools/07137","801-402-2400","801-402-2401","","1980","","Principal","Daryl Fluckiger","dfluckiger@dsdmail.net"
"Davis District","07","Kay's Creek School","170","Public","","","","K - 6","2260 W Island Dr.","KAYSVILLE","84037","geo:41.0338547,-111.9886677","http://www.davis.k12.ut.us/170","https://datagateway.schools.utah.gov/Schools/07170","801-402-0050","801-402-0051","","2016","","Principal","Susan Andrews","suandrews@dsdmail.net"
"Davis District","07","Kaysville Jr High","410","Public","","","","7 - 9","100 E 350 S","KAYSVILLE","84037","geo:41.028493,-111.935969","http://kjh.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07410","801-402-7200","801-402-7201","","1960","","Principal","Spencer Hansen","sdhansen@dsdmail.net"
